post	target	implied_statement
amen ! that's why i only support what is openly pro white  no code words  just pure white pride !	Minorities	Minorities are substandard races
the white genocide manifesto via	Minorities	Minorities want to wipe out the white race.
big problem for texas we are scared! not only gangs,terrorists but also disease	Immigrants	Immigrants cause diseases
mexicans have such strong family values and ' natural conservatism ' that when they replace us the abortion issue will be solved !	Mexicans	Mexicans are morally weak.
welfare fraud proves jews benefit from white privilege the forward	Jews	Jews commit fraud.
antifa & other leftists are the ones constantly defending violent muslims & is	Muslims	Muslims are violent
oh yeah while some alt-right cuck says ' staahpp  we supp	Conservative males	Conservative males are impotent and weak
: raymond ibrahim : the muslim will vs . the western way	Muslims	Muslims don't like westerners.
: cuckservatives : paul ryan is a classical liberal via	Conservatives	Conservatives are cucks
you hate like a jew . you are fixated on hating white christians like a jew .	Jews	Jewish people have hate toward other groups
so dan carlin is uninformed about the nordics coming to america first ? that's testament to the anti-white narrative	Minorities	Minorities push hatred of whites
elin krantz : just another dead white liberal female via #tcot #p2	white liberal women	white liberal women are disposable
keep up the great work . yo guys are literally the only white race advocates that physically do stuff .	non-white people	non-white people are inferior
i cannot refute autistic screeching. even jewish sorcery has its limits.	Jewish people.	Avoid jewish people.
" quoting meccan verses only .  "" killing innocents is sin "" "" for a muslim  but "" "" innocent "" "" is not a kafir . """	Muslims	Muslims believe in murdering non-muslims
the courageous should meet with to discuss islamic facts. name the enemy to defeat it. #biblical #trump	Muslims	Muslims are the enemy.
even europe has sold out interests of white people  i feel bad because white people have contributed to science & modernity	Progressives	Progressives exclude whites
nathan - why is a jewish person taking your place ? i thought it was about saving the white european race and culture ?	white people	White people need to be saved.
same jew mindset who used islamic to invade christian europe  spain	Jews	Jews don't like Christians.
and exactly why do white lives matter rallies offend american values ? white people founded this country .	Minorities	Minorities are second class citizens.
i have even less sympathy for refugees now	Immigrants	Immigrants are guilty
translation : in short ; all of the troubles of the american black  no matter how complicated or insignificant  is the fault of white people . as black people we are faultless and blameless for any and all of our troubles . now ! white people  fix our problems for us .	Black people	Black people are irresponsible
i am sure he hasnt just another lie on the road to the white house to destroy america . if they came here illigslly they need to leave now that is fair to americansnn	Immigrants	Immigrants are hurting America.
ask her if she'd consider it, if he asked? she knows how to strategically get isis & rid refugees.	Muslims Refugees	Muslims refugees are part of isis.
"there is only one solution to world poverty, for poor countries to produce their own wealth,"""" wayne grudem declared at"	Immigrants	Immigrants are poor
so you're saying we should cuck on the marxist false ideal of equality ? you don't	non-white people	non-white people are inferior
by falsely accusing people of being racist  you grotesque libs have been the real racist all along .	Liberals	Liberals are bigots
you must be the arithmetic man; you add trouble, subtract pleasure, divide attention, and multiply ignorance.	Immigrants	Immigrants are ignorant
i'm a nationalist  and white . ergo  white nationalist . so long as identity politics exist  we must play the game  or lose by not showing up .	Minorities	Minorities are politically manipulative
recruiting for jihad in a place of worship ? shocking !	Muslims	Muslims are immoral
santa claus is white and belongs to white people ! #nationalsocialism #nationalism	non-white people	non-white people are inferior
Just got shoah'd AGAIN. 3 shoah's in 3 days. I hope those stupid faggots at twitter hang themselves Their bots are fucking shit. Dumb dirty kike faggots All bc I started a curious cat acct	Muslims	Muslims are faggots
" -  "" i hate you all "" "" - racist note from the black boy who raped his white teacher & slit her throat """	Black people	Black people kill White people
we don't want any of your muslims tho	Muslims	Muslims should be deported
white pride march in wales passes off peacefully via	white people	White people are peaceful.
: rural america currently lays in ruins.congress teams up to condemn them as white supremacists . #cuckservativelogic @	White people	White people are being labeled as white supremacists in rural areas of the country
"  "" the jew as a parasite "" "" ( ( ( glyptapanteles ) ) ) """	jewish people	jewish people leach off others
according to one person i communicated with - why cry over as bunch of cells, would you cry over a tumor	women who get abortions	if you have an abortion you are killing a baby
racial pride is admitting that you've done nothing better with your life than the accident of birth. really, the opposite of pride: pathetic	White folks	Racial pride is pathetic
happen in america ... unless a majority of white people are muslims we dont have anything to fear	Muslims	Muslims are dangerous
for the good of the american people, defund santuary cities, the are a lawless haven for criminal illegals.	Illegal immigrants	Illegal immigrants bring crime to cities
the racist muslim in the white house wants to ban white trucks now ?	Muslims	Muslims are racist.
moscow ? or pakistan ? .. #wr #whiteresistance #whitegenocide	Minorities	Minorities are inferior
video : muslim speaker in canada calls for full implementation of islam  says migrant influx helps build caliphate	Muslims	Muslims want to colonize
we can only hope these neanderthals run into those of us packing heat. guarantee it's not gonna go well for the jihadis.	Muslims	Muslims should be killed
the lives of identity europa movement do not matter . indeed they are a burden to those of us who did not abdicate our humanity .	White supremacists	White supremacists are inhuman.
" rt national review : white working class towns  "" deserve to die "" "" via """	Minorities	Minorities want to exterminate white culture
we need to start enforce our laws . removing illegals and getting control of our visa's .	illegals	Illegals don't follow the laws.
hate hikes are encouraged, hiking with a weighted pack is even better.	Not specified	The group encourage hate.
hey, are you a conservative african american or, as libs would say, a prop?	Black folks	Black people are stupid
black atheist republican - explains why he now believes the white race is intellectually superior .	white people	White people are smarter than black people.
the sex and skin color is irrelevant, 3 evil people need to meet their maker, asap.	Not specified	The group are evil and should die.
please check out our movie #thegranddeception about the #muslimbrotherhood in usa .	Muslims	Muslims are liars.
the only identity they fear is white identity .	Minorities	Minorities are prejudiced against whites
black people try to escape the black undertow by moving to our cities and neighborhoods.	Black folks	Black people are invasive
no more white submissivism to jewish globalism	Jewish people	Jewish people are hurting whites.
> > > americas future > > > white woman raped then stoned by racist blacks in south africa	black men	Black men are violent to white women.
" rt of course  jew-media to poison white brains : [ bad ]  "" neo-nazis "" "" "" "" skirmished "" "" w / "" "" well-organized "" "" "" "" counter "" "" - protesters """	Jews	Jews are cunning and scheming.
elin krantz : just another dead white liberal female raped to death by non-white via	non-white people	non-white people are rapists
no one cares if the white race disappears off the face of the earth  so why should we care about anybody ?	white people	No one cares about white people.
if it's not amnesty, what is it ? answer: obama's illegal law. deport !	Immigrants	Immigrants should be deported
blacks are 49 times more likely to assault a white than a white is to assault a black . whites need to separate to protect their families	Blacks	Blacks commit violent crimes more than whites.
" opposing jihad terror is opposing people who on average have darker skin than white people  so it's  "" racist "" "" . """	Muslims	Opposing Muslims is racism
yeah  we're on the road to defeating the islamic state ... the wrong road ...	Muslims	Muslims are inferior
i know i'm white  will look out for the other whites  will do what i can to help . i produced 2 white children that will soon reproduce more white children .	Minorities	Minorities are subpar races
"  "" what our bros & sis experiencing in me : what is coming for us in west . must rise up and awaken . "" "" #bgun """	non-white people	non-white people are invaders
justine damond  this immigrant running around an alley at night  barely dressed  charging our cops  banging their car . claims she heard a noise in the alley . really ? so she went out at night to see ? #bluelivesmatter hooker arguing w / her john . noor kept us safe . #philandocastile	Immigrants	Immigrants are criminals
" everyone isn't  "" comingling "" "" only white people and white countries have to "" "" comingle "" "" """	White people	White dominant countries are only allowing immigrants
according to leftists  we need to get rid of white people in general . you have legitimized white nationalism . thank you .	Leftists	Leftists hate whites
only in america can a muslim bonnie and clyde terrorist team kill and the white man gets blamed for it .	Muslims	Muslims are violent criminals
" who are your people ? what did you do to help  "" your people "" "" in advncing the human race  besides just having pale skin ? """	Whites	Whites are incompetent
its a planned growth of africans & a planned elimination of whites  #whitegenocide  #kalergi  #maga #tcot #trump #altright #sjw #buildawall	Blacks	Blacks are trying to destroy whites.
but like ben carson  i bet he is a white supremacist	Conservatives	Conservatives are racist.
white genocide accelerates in england : white british pupils will be outnumbered by 2037 via	Minorities	Minorities are taking over society
typical jew . what do you expect from them ?	Jews	You can't expect anything from a Jew.
rt : jeff sessions : obamas executive amnesty is a security nightmare #noamnesty	Blacks	Blacks cannot handle responsibility.
i can see that given the history of the white race being enslaved lynched and discriminated against behind the word	Minorities	Minorities oppress whites
by that logic the united states police should go kill all the white heroi	police	police kill blacks
look at the word games though . i organized the rally & i'm not a ' racist ' or ' neo-nazi ' . i'm pro-white	Whites	Whites are dishonest.
aryan men and women may not to kneel to anybody ! ! !	Minorities	Minorities are beneath whites.
yet nazis are dominating your politics today  white race is in danger ; u must know	Whites	Whites are racists.
and they don't restrict the raping to their own women  no no . they rape thousands of white girls every year . white men rape < 10 black women .	Blacks	Blacks rape whites
no might, no maybe, just do itdeport all illegals all criminals	Immigrants	Immigrants are criminals
race baiting isn't a thing . and you're standing with a trump a known white supremacist . you're complicit in the oppression of black ppl	black people	Black people are oppressed.
its about money  not christian love cost #refugee family $ 257481+ welfare + food stamps	Refugees	Refugees sponge off others.
hang them by the neck!!	Immigrants	Immigrants should be hanged
It's time for a purge https://twitter.com/spf_7k/status/1031505226434584...	No specific group	See above
hang him at the church bell's tower	Not specified	the group should be hanged of a church.
which centuries? the ones where britain was conquered by previous muslim hordes?	Muslims	Muslims invade other cultures and ruin them
20 invader centers burned in germany #whitegenocide #merkelmussweg #refugeeswelcome #trump	Immigrants	Immigrants are invasive.
welcome to #sweden, refugees!maybe i should take a week or two myself, nice pool!	Immigrants	Immigrants are a profiteering people
how racist and stupid are you people . wall = lunacy . go bob casey !	Conservatives	Conservatives are ignorant
my traps help save the white race	Minorities	Minorities are less than whites
reality . any violence outta ' trump supporters a response to antifa / black bloc / anti-trumpers . after last fall  trumpers said no more .	Leftists	Leftists start violence
they are #wmd's just like negroids and mestizo's wake-up white man the race war has already begun ! #whitegenocide	Blacks and Mestizos	Blacks and Mestizos are at war with whites
she shouldn't be surprised. leftists and homosexuals are severely mentally ill.	LGBTQ people	LGBTQ people are mentally ill
just my opinion but britain needs to take a page from n.ireland and bomb all the mosques.	Muslims	Muslims mosques should be bombed
mlk walked over edmund pettus . white people built it .	Minorities	Minorities are incompetent.
your primitive ignorance is embarrassing. go learn anything, anywhere.	Immigrants	Immigrants are ignorants
getting beat up at us flag rallies would be great for our cause at this point . show how much they hate heritage white america	white people	White people get a lot of hate.
. tweeted this last year! enough said, i'll leave it right here. #draintheswamp #trumptrain #trump2016	Immigrants	Immigrants have to be deported
gavin married non-white too . you can't get more anti-white  than not choosing a white partner .	non-white people	non-white people are enemies
anti-white supremacist  the new code word for #antiwhite .	Minorities	Minorities are dishonest
"  "" they look white to me . "" "" - jewred taylor """	Jews	Jews don't like white people.
yes ... you think antifa is just here in the good old us ? lol ... simple minds	Left-wing liberals	Left-wing liberals are taking over the world.
" and after they are done fighting the other muslims ? they come after us .  "" do some reading "" "" ! ! """	Muslims	Muslims are violent.
JUSTICE! Antifa faggots are going to have their fingernails ripped out and their asses treated like Russia's borders in the 1700's: constant expansion. http://yournewswire.com/putin-antifa-russia/	Antifa	Antifa is evil
ok, what if a nice friendly guy who found good family values in mein kampf wanted to be sworn in on it?	Nazis	No specific stereotype
deport now. reopen ellis island. secure the borders.	Immigrants	Immigrants should be deported
this is why people have to come all the way from south china to teach africans how to mine in their own countries	Black people	Black people are stupid
do whatever you can or these desert barbarians will destroy the western civilization.	Immigrants	Immigrants are destructive
no, he should be forced to learn about muhammed!	Muslims	Muslims force people to learn about their God.
that is so funny. #obama wants to take my #2a rights & give it to criminals. great idea - not	Democrats	Democrats wants to take guns away from people.
will mike tell us how jewish wives are the last stand of implicit white identity ?	Jews	Jews are inferior to whites
don't quit tex ! we are all gonna get swole and save the white race together	whites	whites are becoming the minority
absolute proof jews enemyof white race !	Jews	Jews conspire against whites
#kansas takes a stand for human dignity  defunds #plannedparenthood #defundpp	Liberals	Liberals want to murder babies through abortion
good ! man i'd hate to be a native born white in any of those cities .	white people	White people are in trouble.
aryans will never forget the massacre of german aryans	Minorities	Minorities kill whites
i feel like what people are starting to say is true there is going to be a race war and the white race is at risk	Minorities	Minorities want to eliminate the white race
the #us #education system discourages critical thinking skills . hence the ignorant hate that persists against #hitler & national-socialism .	Minorities	Minorities are subpar races
we as americans best wake the frack up! this is against our constitution and our morality. these people are animals and should be treated as	Minorities	Minorities groups fighting for equal rights are animals.
tuskegee, the home of black pilots and scientists, is incapable of sustaining a wal-mart or a hotel #thetriggering	Black people	Black people are dumb
"hey, she didn't say """"latinx"""". the best we can get out of her is she's a liberal two-years ago."	Liberal	liberals correct the speech of others
"we should adhere to our religion to remain mired in the barbaric past."""" teach your children well."	Muslims	Muslims are barbaric
absolutely not . sessions is a rotten racist and crazy kkk . u don't need a racist to stop illegals .	Illegal immigrants	Illegal immigrants are trying to take over.
: dr . david duke : will the white race survive ? via	Minorities	Minorities are substandard
jews never could fool me ~ i've been exposing jewish deceptions what not in cyberspace	Jews	Jews are deceptive
only a stupid white person would prefer white patriots to vanish ! take a stroll through a no go zone and see -	White Progressives	White Progressives are dumb
us whites are just a minority on this planet. the technology exists to colonise the moon and mars. whites only!	White folks	Only white folks should be allowed on the Moon and Mars
The day we’re allowed to remove these pigs 1 by 1 will truly be a wonderful day. I believe once the weak whites, and ALL brown menaces are gone the remaining ppl left will really know freedom.	Brown and white people	Brown and white people are scum who need to be removed to promote a peaceful society
... also  organized jewry and anti-white	Jews	Jews are against white people.
grow your own. they're almost impossible to screw up, you imbicile	Immigrants	Immigrants are imbeciles
she's another low iq hollywood liberal . islam is submission and btw if they ran america	Liberals	Liberals are stupid.
: no country for minority white children : racist attacks by violent non-whites rising in america	Minorities	Minorities prey on whites
white power forever  white people rules forever and the whites will rule againall hail the aryans / whiteshail and so on ( others )	minorities	minorities are inferior
white pride worldwide hooded sweatshirt very via	white people	White people are superior.
put nooses around them.	Immigrants	Immigrants should be killed
if the whites who condemn us get their way america will look like detroit and india ! does that sound good to you !	White people	White people want others to live in poverty.
i wonder what the average iq is in puerto rico ? 60 ?	Hispanics	Hispanics are stupid
h calls anyone who wants 2 b safe a racist . she is a hater of america  her polices will not keep us safe	non-white people	non-white people are dangerous
you hate us cause se you can't be us #unitetheright	Liberals	Liberals wish they were republicans
mostly white clinics are called pregnancy clinics . in other neighborhoods  clinics are called abortion clinics .	white people	White people have abortions.
"we need to stop terrorism. its bad!"""" your proposal is?""""only let in the based muslims!"""" o oh. okay."	Muslims	Muslims are terrorist and should not come into the country.
if you virtue signal enough the non white hordes will kill you last  maybe .	non-white people	Non-white people are dying out.
like #hitler said  ' sin against the blood is the original sin  and an end to the humanity which suffers from it . '	Minorities	Minorities are second class people
bradford : 80 % of children sexually exploided are white . rape jihad	Muslims	Muslims are violent sexual predators.
the secret life of a hateful homophobic activist . #lgbt #queer #hate	Gay people	Gay people are hateful.
why don't we exterminate you aids carrying rodents and make the world a better place?	people with aids	people with aids are rodents
" rt  "" diversity "" "" = white genocide : via """	non-white people	non-white people want to replace whites
muslims always feel provoked and offended ... that's why islam has to be banned from democracies .	Muslims	Muslims are sensitive.
for all people who dont know us we are the the nnp . we are the supporters of the by passing there messages to other white people !	white people	White people need to support other white people.
banning the muslim brotherhood, getting them declared a terrorists org & ban all related orgs.	Muslins	Muslims are all terrorists.
"  "" a nation without borders is not a nation . "" "" - president trump #buildthewall """	Immigrants	Immigrants are inferior.
close border, or bring our soldiers back home to protect the taxpayers!	Immigrants	Immigrants should be expelled.
dude looks like a lesbian butch, how do we know that's a man?--&gt;	lesbian	Lesbian look ugly.
" heidi cruz supports merging the us with mexico so that employers can have  "" rapid access to a larger pool of skilled labor "" "" #cruzcrew """	Mexicans	Mexicans take people's jobs.
what line has to be crossed until it's socially acceptable to purge degenerate filth with fire? let us do what must be done!	No specific group	See above
white self-hate : master stroke of the george lincoln rockwell #whitepeople #whitepride #wpww	white people	white people are oppressed.
now those are some haircuts you can bring about a white ethno-state with ! great job guys !	non-white people	non-white people are inferior
sharia and civilization is incompatible.	Muslims	"Muslim pratice sharia and are opposed to ""civilization """
we will make america white again ...	white people	White people belong in America.
and the jews too . just kidding jews  no one believes you're white except you .	Jews	Jews are anti-white
and sure  kebab  what could a jew ever do to us ? if they kill us then they are dead  extinguished from the earth . capisce ? same with you .	Jews	Jews are weak.
" rt white student union  "" offensive "" ""  but anti-white student union is welcome at toronto | more : """	white people	White people are oppressed.
;.cant lick em,noon emold age moo tactics,as soon as deah gets de upper hand,bow down now! alahuakbaarrrr	Muslims	Muslims should not be allowed to have power
" i am an immigrant  vickie  i don't see  "" white christian "" "" males as a threat . you  however  are blinded by ignorance & hate . sucks to be you ! """	immigrants	Immigrants are threatening.
jews are not white .	Jews	Jews are not white people
thanks,elder.they are really desperate.they are riding whatever bus they are on,right into the ground	elderly people.	Being disrespectful to an elderly person. But hard to tell.
white people built everything in this country.maintaining the white race is the key to a further existence of a civilized society .	whites	whites are superior
because white people don't need diversity . it is only a weakness to us .	white people	White people don't like diversity.
" via national review : white working class towns  "" deserve to die "" "" """	white people	White people should die.
i am for white separation  i hope this clarifies my position .	White people	White people are superior to other races
white power black parasite. blacks have contributed nothing to humanity.	black folks	Black people are useless
islamic scholar applauded on german tv for predicting germanys genocide #whitegenocide	Muslims	Muslims are violent and racist
feed of shit its canada not ramjamistan. don't like it sod off back to sharia heaven. where do these outsiders get off.	Muslim	Muslim feeds on shit
trump  the hammer  will be the one that brings down the anti-semitism laws . remember your trump vigor then .	Jews	Jews are a subpar race
bring back slavery? oh well, there goes the $433k cotton stripper.	Black people	Black people are only good for labor
nope  but ' racist ' is the new n word for white people .	White people	White people are racists
then you should understand why white people in america are resisting being colonized by the	non-white people	non-white people want to replace white people
if jews and arabs want war w each other  please go ahead . but not in white countries & w / o us .	Arabians	Arabians don't like Jews.
this is so ridiculous .. over 100 years ago ! ! blacks sold one another to whites  it was wro	Blacks	Blacks are hypocrites
after fifty years of integrated schools  blacks can't compete at the white or asian level in a single school district !	blacks	Blacks aren't as smart as whites or Asians.
blood joining . sort of like america if you think about it . most lodges are white  intentionally white	Minorities	Minorities are substandard
so true but if being white and proud means i'm a racest then i will happily be called a racist . i have no problem with it at all .	Minorities	Minorities are less than whites
white civilization is superior than monkeys	Minorities	Minorities are primitive
i believe your are slurring all white people  its offensive . #waronwhites	Minorities	Minorities disparage whites
give me a break sly . whites did build this country . nothing wrong with that . the more we ar	Minorities	Minorities are ineffectual and unskilled.
they are implicit in this and won't even acknowledge it for what it is : an anti-white hate crime	non-whites	Non-whites hate white people.
euro jews may be white  but tariq is still a puppet ...	Arabs	Arabs are easily manipulated
belarusians were stripped of all assets by moscow jew #bolsheviks so vengeance was rife .	Jews	Jews are corrupt
the chicoms seemily care more about their people's wellbeing than european nations about their own ? bizarre .	Chinese	Chinese are dishonest.
the demokkkrats are still the party of the klan . look at their racist remarks and all white candidates for the presidency	democrats	Democrats are racists.
by 's logic, all of those cities should be utopia since the evil whiteman left.	Black people	Black people victimize themselves.
i think we know who the real heathens are. ship them back to port of origin.	black folks	black folks are heathens and should be sent back
by the looks of it you have our heritage as well or are you transracial like rachel dolezal ?	Transracials	Transracials are abnormal
way more money sunk into white supremacy than racial equality . there is a cure for that ... and racist lies  too .	Whites	Whites are racists
Granny Schicklgruber's Cherries Jewbilee Recipe	Jewish people	Jewish people are subhuman
orban : hungary is a refuge for white europeans via	non-white people	non-white people are inferior
free food, free rent, free healthcare, every man woman and child on the face of the earth receiving free ? priceless!	Immigrants	Immigrants are taking advantage of our country
yep  of course ! you're racist against your own community if you don't succumb to this line of thinking !	Democrats	Democrats think everyone who doesn't agree with them are racists
pl . enjoy fuhrer jokes ! ! laughing the whole time !	Jews	Jews are inferior
if a man can cut off his penis and be a woman, then all categories are fair game.thank you liberals	Liberals	Liberals are disrespectful
heritage is race . africans or asians or arabs don't share european heritage  which is the	non-white people	non-white people should stay separate
that's how you know it's the power elite who send these leaders to us  they are never white  married to white  non-jewish  men .	white people	White people don't marry Jews.
no  it was just blacks . white liberal cities like seattle  boulder  portland  and state of vermont are fine .	Blacks	Blacks destroy their own communities
: good news : white pride america merges with the national socialist movement ! via	Minorities	Minorities are inferior to whites.
i was going to go poster the local synagogue with these, hail victory my fellow fashy goys! teehee	Jewish	Jewish are going to synagogue.
freeze religious proportion of voters at 1947 level  no voting right for having more than 2 children	Christians	Christians are ignorant
tore * why do jews hate white advocacy so much ? you need to check your jewish privilege .	Jews	Jews are priveleged.
and it's a shot into their own foot . white nationalism was what actually build america  p	white people	White people built up America.
no one is taking your white identity movement away from you .	white folks	whites are racists
all hollowed out : the lonely poverty of america's white working class	Minorities	Minorities have decimated poor white society.
being racist and being aware of a race problem are different things . i don't hate a race . i just love mine . we have a racial invasion here .	Minorities	Minorities are taking over society
bp agent: nothing done to secure #border from #ebola, apprehensions at 30%	No specific group	See above
" rt  "" master race "" "" ? well thanks  but "" "" white people "" "" will do . """	Minorities	Minorities are second class races.
the only thing they should be entitled to is a swift deportation	immigrants	Immigrants need to leave the country quickly.
if you want to get better join the aryan race	non-white people	non-white people are inferior
your religion was founded by a white man	Christians	Christians are inherently racist.
they must be forced to stay in africa and the me. africa is 20.4% of earth's land mass, europe is 6.7%. it's not our fault they can't develop it. europe shared and built european style civilizations all over africa, they ran us out and destroyed the cities, now they want ours.	Immigrants	Immigrants are destructive
keep it up . another one of your good ol white boys will break another record .	whites	whites are racists
: robertspencer hatemongerbe brave an admit you are fulfills christian / jew zionist hate agenda against 1 .	Jews	Jews promote hatred against whites.
" yet another islamic supremacist tries to fool people with big lie that opposing jihad terror =  "" hate . "" "" """	Islam	Islam kills
the beast as saint : the truth about martin luther king jr . #swrm via	Blacks	Blacks are barbarous
also, charge mexico for all legal & imprisonment costs, including transportation back to mexico! why are us citizens on the hook for any $$?	Immigrants	Immigrants are dangerous and cause fear
the extermination of the white race : facts about britain and non-white invasion | read more :	white people	White people are dying out.
if a non-white wants a white person to be fired or exiled etc.all they need to do is claim the white p	white people	White people are easily fired.
now while out the white population . what happens ?	Minorities	Minorities are pushing out whites
we are not feeding our own, ethnically diverse children. it's arrogant to pretend we can help others while kids go hungry.	Immigrants	Immigrants are profiteers.
good york #jews dismiss black on white #rape	black people	Black people are races.
" always place the race card first .  "" those racist muslims are ... "" "" or "" "" those racist supporters of islam ... "" "" """	Muslims	Muslims are racist.
mostly white flight sadly  this is a beautiful state  invaded by idiots and 3rd world	Immigrants	Immigrants are inferior.
the end of a myth : most new serial killers in america are not white males | read more : via	Minorities	Minorities perpetrate most killings.
racist black thugs shoot white baby in the face for the fun of it via #flegs	black people	Black people are violent and racist.
he's vocally anti-white  he's not white  he advocates miscegenation and he's so much as admitted to raping women	non-white	Non-white people are rapists.
trump's accurate analysis & description of globalists controlling american gov  media & banking has jews uneasy . globalist = jew or jew puppet	Jews	Jews are selfish
yet the only arrest made was a liberal  bernie voting  moslem . not one white trump voting racist . makes you think	Muslims	Muslims are bad.
Who knows! ¯\_(ツ)_/¯ All I know is the less brown people the better! :D Although... :\ Perhaps I'm distracted by the prospect of blowing up brown people. While failing to see them coming in the back door!?!? D:	Black folks	Black people are dangerous
deport all illegals !	Illegal immigrants	Illegal immigrants are useless
. our laws apply to illegal aliens, we should focus on aliens and criminal refugees. zero tolerance.	illegal aliens	illegal aliens and criminal refugees do not follow the law
born in america  you waste of space . all you people bring to this world is hate and negati	Immigrants	Immigrants are hateful
no race can love itself as much as the white race can .	white people	White people love themselves.
it means people aren't buying the lie  diversity kills  now prove me wrong	Progressives	Progressives want to destroy white culture
are you fucking racist and high? that kid was pummeled beyond belief by pigs. they deserve j	Police	Police are pigs and kill people.
... my updated feeling is sadness . how have we failed our european sisters . this culture is so toxic th	Minorities	Minorities are second-class citizens.
" no  only  "" white people "" "" are racists . """	non-white people	non-white people are the real racists
if you denounce these acts  you're islamphobe and you're accused of hate speech . denouncing rape = islamophobia / hate speech .	Muslims	Muslims hate non-Muslims
" why do muslims have a  "" jew hate gene "" "" ? """	Muslims	Muslims hate Jews
: no campus ( or country ) for white men #waronwhites #maga #ancap	white people	White people need their on country.
white men can sleep with other races but should marry within their own race . white women should remain virgins until their wedding night and should only be with white men .	white women	White women have less rights than white men.
black-white violence is one-sided  yet media trumpet blm myths . reality : anti-white hatred  no-go zones for whites . #blmkidnapping	whites	anti-white hatred from BLM
" all white heritage is hate ? what about all the bad things blacks and asians have done ? or do you have a double standard cuz '  "" oppression . "" "" """	minorities	minorities are hypocrites
call us names all you want  but white identity is here to stay & it's only going to continue to grow . #whitegenocide	Minorities	Minorities are the lower races.
we must secure the existence of our people and a future for white children .	Minorities	Minorities want to abolish the white race.
white people pretending to be blackfify	white people	White people want to be black.
the man who loved his people  and who was loved dearly by them in return . don't believe the lies against him . #hitler	Minorities	Minorities are less than the white race
because it's totally out of the question for a muslim to kill white christians  right ?	Muslims	Muslims are violent
their moral code only applies to white people . whether they know it or not they are anti-white . they somehow don't notice their own double standard .	Black people	Black people are immoral
these people actually believe this optic shtick has never been tried ? they think white power punk was the only thing ever done ?	Whites	Whites refuse to face racism.
white men must act to save the honour of white women and girls .	white women and girls	White women and girls are in danger.
you people aren't human. these daca people were brought here as children they hold jobs, own homes and are more american then you.	conservative folks	Conservatives are less human
blacks & latinos attack & kill white people daily  but  when blacks or latinos attack & kill cops it's a big deal ? #secede #tcot	Minorities	Minorities are brutal and savage to whites.
: kanye west releases his most anti-white rap song ever sucks hes the most racist man alive ..	Blacks	Blacks are bigoted
turn them into road pizza!	Immigrants	Immigrants are scum and must be exterminated
sorry but jews aren't white	Jews	Jews are substandard
such #racism goy  there is only ( ( ( shared human heritage ) ) ) rt : uc merced  ca . its it's habbening .	Jews	Jews are devious
: via : white house erases israel from its website #tcot	Israel	Israel doesn't belong in the White House.
detroit : the death of white civilisation #swrm #whitegenocide via	white people	White people are dying out.
i will take white nationalism > jewish nationalism	White nationalism	White nationalism is better than Jewish nationalism.
" rt  "" it has finally hit them like a 2x4 between the eyes that white america is not the dying corpse they assumed it to be . "" "" - rocky suhayda """	non-white people	non-white people are oppressors
just did a round table show on w / and - should be out in a few days . #refugeescrisis & #whitegenocide	white people	White people are in danger.
all the founding fathers of the us were all white men . white people couldn't immigrate to a non-existent country  they created one .	Immigrants	Immigrants are leeches
cause - effect reversed ? white people made their space the best place to live .	Minorities	Minorities live like heathens.
see  literally being white is racist #whitegenocide	non-white people	non-white people are oppressive
that's because is a terrorist like antifa . she's is senile and a failure . stealing tax money .	Leftists	Leftists are thieves
its not about appealing to conservatives its about appealing to whites . we don't need to put stumbling blocks in their way .	Minorities	Minorities are subpar people
: muslim gangs want 2 kill those who tell truth ? kill those who worship jesus christ ? kill those who draw	Muslims	Muslims are violent and kill Christians
illegal is not a race . true . but they aren't pulling over cars looking for white law breakers .	Illegals	Illegals are criminals
just like democrats scream white supremacist and racist whenever they are losing a debate	Democrats	Democrats are fraudulent
10 yrs hard labor!! put him on chain gangs and build the wall.	Immigrants	Immigrants have to build the wall
white americans least likely to race mix #swrm #niceone keep up the good work  make america great again !	Minorities	Minorities are less than the white race.
can bama deport ole fish-guts..?	No specific group	See above
keep it white	white people	White people are good.
funny, yep that convinced me{sarcasm off}	Immigrants	Immigrants have to be deported
" rt michigan state student :  "" it is not okay to be white "" "" :/ / """	white people	White people are bad.
and then a trans man with a vagina comes into the womens bathroom and all the women start complaining about a man in the bathroom.dude,logic	LGBT people, specially transsexuals.	Implying Trans people are not from the sex they identify of.
halt h1-b visas completely! they are not needed! train us workers instead or get out of business!	Immigrants	People with special abilities to get H1-B visas don't deserve it. Pure eugenics.
gov't petition against sharia law in canada, this video is our warning, all welcome to sign #m103 #sharialaw	Muslims	Muslims are not citizens and should not have any laws to assist them
the democrats have become the party of the non-white & anti-white  even the #aflcio can't save them . #usa	Democrats	Democrats are all non-whites.
we need to stop the flow of immigration in our country! all must be vetted! just obey the laws! deport criminals!	immigrants	Immigrants are criminals.
stop anti white racism stop your hate we have a right to exist	white folks	whites feel racism toward them
don't forget that in addition to being white makes you a racist we're supposed to feel guilty abt what monsters we r & how easy we've had it	white people	White people are racist.
henry ford was an anti-semite and those guys writing those other books are white supremacists . you guys should read different ones .	White people	White people are racists
for #worldrefugeeday how about we help the white south africans and save them from the brutality they've been enduring for years now ?	white South Africans	White South Africans are suffering.
soon  white people will not be a majority anywhere . you believe	Minorities	Minorities want to take over the world.
